videoId,title,chunk_idx,chunk_start,chunk_end,brand_surface,product_surface,product_score,shade_surface,context,source,Brand,Product Name,Product Type,Category Group,Shade Name,Hex/RGB Code,match_score
AZzkJL2b724,Birthday Makeup Tutorial - EASY GLAM,0,0.0,141.25,laura mercier,tinted moisturizer natural skin perfector tinted moisturizer,100,,"g my foundation. For my foundations, I'm gonna mix these two, the Venti Beauty Profilatory Hydrating Foundation and the Laura Mercier Fluorless Fusion Ultra Longwear Foundation. I literally never apply foundation on my brows. My sponge is not even getti",brand-led,Laura Mercier,Tinted Moisturizer Natural Skin Perfector,Tinted Moisturizer,Skin,,,100
AZzkJL2b724,Birthday Makeup Tutorial - EASY GLAM,5,691.05,815.57,morphe,m439 deluxe buffer brush foundation brush,100,. I don,me cream contour today. I'm not sure if that's a good idea to be honest with you. I've never used this one. This is the Morphe Dimension Effect Contour Stick in the shade. I don't know what's the shade. It's probably the lightest one. I'm gonna h,brand-led,Morphe,M439 Deluxe Buffer Brush,Brush,Tools,,,100
2bhiiFwUdU8,SHANE DAWSON MAKEUP TUTORIAL | Jeffree Star,1,155.71,265.84,dior,forever skin glow foundation foundation,100,200,"dding. What is it the fuck? He did not know that I swear to God at my makeup was already done when he got here. This is Dior air flash It's like a spray. Yes, bitch. Oh my god. Paint me paint this house and then We have to I like to mix so I li",brand-led,Dior,Forever Skin Glow Foundation,Foundation,Skin,,,100
2bhiiFwUdU8,SHANE DAWSON MAKEUP TUTORIAL | Jeffree Star,2,266.86,367.83,nars,soft matte complete concealer concealer,100,soft matte,"rything matches. Okay, never forget the ears All right now to conceal Shane's life and soul. We're gonna go in with the Nars soft matte. We're blending How do you feel about things around your eyes? I love it. I'm gonna shove a stick in my eye.",brand-led,NARS,Soft Matte Complete Concealer,Concealer,Skin,,,100
5nQ_a77HMdk,EVERYDAY EASY GLAM MAKEUP TUTORIAL,7,363.03,412.67,urban decay,naked3 eyeshadow palette eyeshadow,100,,"? Okay? Okay, so now my brows are pretty much done Just fill them in a little bit. Usually I would have gone in with my Urban Decay eyeshadow primer Just fill them in a little bit. Usually I would have gone in with my Urban Decay eyeshadow primer But ",brand-led,Urban Decay,Naked3 Eyeshadow Palette,Eyeshadow,Eyes,,,100
5nQ_a77HMdk,EVERYDAY EASY GLAM MAKEUP TUTORIAL,10,506.34,608.1,,tattoo liner,100,220,"st. So that being said I'm gonna take the Fit me powder in 220. I'm just gonna kind of lightly Just to make me look a little less pale a little more. I actually should I even try eyeliner? Okay, now I'm gonna line my eye",direct-product,KVD Beauty,Tattoo Liner,Liquid Eyeliner,Eyes,Trooper Black,#000000,100
5nQ_a77HMdk,EVERYDAY EASY GLAM MAKEUP TUTORIAL,10,506.34,608.1,morphe,m439 deluxe buffer brush brush,100,,r now So I feel like I look like whatever what we're going for just like whatever now I'm gonna take my fluffy brush by morphe. I don't know it doesn't have anything on it I'm gonna take my fluffy brush by morphe. I don't know it doesn't have any,brand-led,Morphe,M439 Deluxe Buffer Brush,Brush,Tools,,,100
5nQ_a77HMdk,EVERYDAY EASY GLAM MAKEUP TUTORIAL,13,826.3,935.62,,better than sex mascara,100,,na. Yay And then so once I've placed them on and then like pull them left and right where they need to be I'll just take my tweezers and I will pinch my actual eyelashes and the All sees together after bottom mascara I'm,direct-product,Too Faced,Better Than Sex Mascara,Mascara,Eyes,,,100
Geeqrolx0bA,The Bridal Makeup Tutorial,4,479.15,587.47,,luminous silk foundation,100,7 and I,o lock in moisture and keep the lips moisturized. So by the time we're applying the lip products later on in the tutorial everything just glides on because the lips are plumped and hydrated. Okay for makeup I'm starting ,direct-product,Giorgio Armani,Luminous Silk Foundation,Foundation,Skin,,,100
Geeqrolx0bA,The Bridal Makeup Tutorial,5,587.47,703.75,too faced,born this way super coverage concealer concealer,100,000,I applied it. So in saying that I think this concealer has taken the throne so to speak from my past favorites like the Too Faced Born This Way and,brand-led,Too Faced,Born This Way Super Coverage Concealer,Concealer,Skin,,,100
Geeqrolx0bA,The Bridal Makeup Tutorial,6,703.75,815.23,too faced,born this way super coverage concealer concealer,100,10,I applied it. So in saying that I think this concealer has taken the throne so to speak from my past favorites like the Too Faced Born This Way and the Tarte Shape Tape. Even though I still like those this has quite literally become my new favorite ,brand-led,Too Faced,Born This Way Super Coverage Concealer,Concealer,Skin,,,100
Geeqrolx0bA,The Bridal Makeup Tutorial,6,703.75,815.23,tarte,shape tape concealer concealer,100,10,I think this concealer has taken the throne so to speak from my past favorites like the Too Faced Born This Way and the Tarte Shape Tape. Even though I still like those this has quite literally become my new favorite concealer of all time. It's ,brand-led,Tarte,Shape Tape Concealer,Concealer,Skin,,,100
Geeqrolx0bA,The Bridal Makeup Tutorial,9,1049.51,1170.46,laura mercier,translucent loose setting powder setting powder,100,,"is magic. The complexion still looks soft and you can still see her skin shine through. Alrighty next up I'm taking the Laura Mercier translucent setting powder pouring a small amount into the palm of my hand, dipping my powder puff into it and then usi",brand-led,Laura Mercier,Translucent Loose Setting Powder,Setting Powder,Skin,,,100
Geeqrolx0bA,The Bridal Makeup Tutorial,10,1170.54,1297.91,laura mercier,translucent loose setting powder setting powder,100,,that I reinforce the creams with the powder such as bronzer and blush and I reinforce the highlights by baking with the Laura Mercier powder just as you can see me doing here. With my powder puff I take a good amount of that powder along the jawline jus,brand-led,Laura Mercier,Translucent Loose Setting Powder,Setting Powder,Skin,,,100
OtMWweAoJ6E,Easy Glam Holiday Makeup - Talk Through Tutorial,2,213.31,320.54,morphe,m439 deluxe buffer brush foundation brush,100,e54,like this like a little cushion and then foundation comes out isn't that awesome I'm going to go in with a new brush by morphe I haven't tried this yet it's brand new and this is the e54 from the elite collection so it's a synthetic brush and I'm,brand-led,Morphe,M439 Deluxe Buffer Brush,Brush,Tools,,,100
OtMWweAoJ6E,Easy Glam Holiday Makeup - Talk Through Tutorial,5,524.74,633.36,mac,217s blending brush eyeshadow brush,100,242,brush let me find my eyeshadow brush I'm going to grab this on a mac okay that's attractive I'm going to grab this on a mac 242 brush just any flat synthetic eyeshadow brush will work and I'm just going to begin to pack this on the inner corne,brand-led,MAC,217S Blending Brush,Eyeshadow Brush,Tools,,,100
OtMWweAoJ6E,Easy Glam Holiday Makeup - Talk Through Tutorial,7,746.13,858.88,morphe,m439 deluxe buffer brush brush,100,E18,atter either one of these will work I'm just going to grab the burlap and just on the very tip of the brush this is the morphe E18 pencil brush and then I'm going to just put it directly over that fudge eye shadow and just blend it in tiny little,brand-led,Morphe,M439 Deluxe Buffer Brush,Brush,Tools,,,100
Kc9Cl34sP3g,GIRLY GLAM MAKEUP TUTORIAL💕,1,108.06,201.1,Charlotte Tilbury,hollywood flawless filter,100,60,"wy. It's gonna have the opposite effect and it's like putting two magnets together. It's gonna repulse your foundation and your cream product. So wait like 60 seconds for all to get really tacky. Okay, I'm gonna grab thi",direct-product,Charlotte Tilbury,Hollywood Flawless Filter,Primer,Skin,,,100
Kc9Cl34sP3g,GIRLY GLAM MAKEUP TUTORIAL💕,11,1141.89,1254.52,rare beauty,perfect strokes matte liquid liner eyeliner,100,,"tra steps in their makeup, such as this one right here. Every time I apply false lashes, I take an eyeliner. This is by Rare Beauty. This is one of my favorites because it's so creamy, so jet black and super skinny. I take it and I just line my upper ",brand-led,Rare Beauty,Perfect Strokes Matte Liquid Liner,Eyeliner,Eyes,,,100
Kc9Cl34sP3g,GIRLY GLAM MAKEUP TUTORIAL💕,12,1254.52,1361.62,rare beauty,perfect strokes matte liquid liner eyeliner,100,,"ly false lashes, I take an eyeliner. This is by Rare Beauty. This is one of my favorites because it's so creamy, so jet black and super skinny. I take it and I just line my upper ",brand-led,Rare Beauty,Perfect Strokes Matte Liquid Liner,Eyeliner,Eyes,,,100
ZAxhEUfpSss,Trying TJ MAXX Makeup For The First Time,0,0.02,131.18,morphe,m439 deluxe buffer brush brush,100,,away. It is very simple Let me show you the prizes everybody now first of all We are going to be giving away two of the morphe Jeffree star brush PR kits with the sponges These have been seen all over the internet and we have given away a lot on ,brand-led,Morphe,M439 Deluxe Buffer Brush,Brush,Tools,,,100
ZAxhEUfpSss,Trying TJ MAXX Makeup For The First Time,8,1019.79,1134.31,chanel,les beiges healthy glow foundation foundation,100,,"n this foundation. That's so weird. By the way Chanel's an altar now Does everyone know that little shook? All right, so let's just press this in all over where I put the co",brand-led,Chanel,Les Beiges Healthy Glow Foundation,Foundation,Skin,,,100
ZAxhEUfpSss,Trying TJ MAXX Makeup For The First Time,10,1270.36,1382.81,mac,pro longwear paint pot cream eyeshadow,100,,"t this is like the main the main Thing so what's primer eyes like we do in every single review on this channel with the Mac painterly paint pot eye Primer, we're just gonna coat our entire lids and brow bone area You guys I really want to do a",brand-led,MAC,Pro Longwear Paint Pot,Cream Eyeshadow,Eyes,,,100
ZAxhEUfpSss,Trying TJ MAXX Makeup For The First Time,12,1495.34,1611.44,morphe,m439 deluxe buffer brush brush,100,. We,"milar last year whatever, okay, so Let's go in with the bottom. Right. This is a shimmer shade. We're gonna go into the morphe one six six brush Oh, wow, that is so powdery for a metallic. Here we go Chris stop And for its next trick this eyeshad",brand-led,Morphe,M439 Deluxe Buffer Brush,Brush,Tools,,,100
zY7FHOAjk_o,easy soft glam makeup,3,313.05,417.22,Giorgio Armani,luminous silk foundation,100,6.5. It,e that if you do use this that you are set like with your brows because you can't go back like it is a very strong product before I do concealer for Glam looks. Hands down. I will always do a foundation. I'm going to use,direct-product,Giorgio Armani,Luminous Silk Foundation,Foundation,Skin,,,100
zY7FHOAjk_o,easy soft glam makeup,3,313.05,417.22,nars,natural radiant longwear foundation foundation,100,6.5. It,"he color 6.5. It's a very light coverage foundation. So if you like something a little bit heavier, I would go with the NARS foundation. It's still lighter than a full full coverage, but it's more coverage. So it makes sense. It's more coverage",brand-led,NARS,Natural Radiant Longwear Foundation,Foundation,Skin,,,100
