Anastasia Beverly Hills	Brush #12	Brow Brush	Tools	1.0
Anastasia Beverly Hills	Soft Glam	Eyeshadow	Eyes	1.0
Anastasia Beverly Hills	Soft Glam	Eyeshadow Palette	Eyes	1.0
Beautyblender	Original Makeup Sponge	Makeup Sponge	Tools	1.0
Beautyblender	Original Makeup Sponge	Sponge	Tools	1.0
Benefit Cosmetics	Angled Brush & Spoolie	Brow Brush	Tools	1.0
Benefit Cosmetics	They re Real	Mascara	Eyes	1.0
Benefit Cosmetics	They're Real	Mascara	Eyes	1.0
Bobbi Brown	Crushed Color	Lipstick	Lips	1.0
Bobbi Brown	Vitamin Enriched Base	Primer	Skin	1.0
Chanel	Les 4 Ombres Multi-Effect Quadra	Eyeshadow Palette	Eyes	1.0
Chanel	Les Beiges Healthy	Foundation	Skin	1.0
Chanel	Retractable Brush	Foundation Brush	Tools	1.0
Chanel	Rouge Coco Lipstick	Lipstick	Lips	1.0
Charlotte Tilbury	& Sculpt Brush	Contour Brush	Tools	1.0
Charlotte Tilbury	Hollywood Flawless Filter	Primer	Skin	1.0
Charlotte Tilbury	Pillow Talk Push Up Lashes	Mascara	Eyes	1.0
Charlotte Tilbury	Revolution Lipstick	Lipstick	Lips	1.0
Clarins	Illusion SPF 15	Foundation	Skin	1.0
Clinique	Almost Lipstick	Lipstick	Lips	1.0
Clinique	Even Better Makeup SPF 15	Foundation	Skin	1.0
Dior	Backstage Brush	Foundation Brush	Tools	1.0
Dior	Diorshow Iconic Overcurl	Mascara	Eyes	1.0
EcoTools	Full Brush	Powder Brush	Tools	1.0
EcoTools	Perfecting Blender Duo	Sponge	Tools	1.0
Estée Lauder	Double Wear Stay-in-Place Makeup	Foundation	Skin	1.0
Estée Lauder	Pure Color Envy Lipstick	Lipstick	Lips	1.0
Fenty Beauty	Gloss Bomb Universal Luminizer	Lip Gloss	Lips	1.0
Fenty Beauty	Precision Makeup Sponge 100	Makeup Sponge	Tools	1.0
Fenty Beauty	Pro Filt r Soft	Foundation	Skin	1.0
Fenty Beauty	Snap Shadows Mix & Match	Eyeshadow	Eyes	1.0
Fenty Beauty	Snap Shadows Mix & Match	Eyeshadow Palette	Eyes	1.0
Giorgio Armani	Luminous Silk	Foundation	Skin	1.0
Givenchy	Le Rouge Deep Velvet Lipstick	Lipstick	Lips	1.0
Glossier	Generation G Sheer Lipstick	Lipstick	Lips	1.0
Guerlain	Mad Eyes	Mascara	Eyes	1.0
Hourglass	Vanish Seamless Finish	Foundation Stick	Skin	1.0
Hourglass	Vanish Seamless Finish Brush	Foundation Brush	Tools	1.0
Huda Beauty	GloWish Multidew	Skin Tint	Skin	1.0
Huda Beauty	Nude Obsessions	Eyeshadow Palette	Eyes	1.0
Japonesque	Kumadori & Highlighting Brush	Brush	Tools	1.0
L'Oréal	Voluminous Lash Paradise	Mascara	Eyes	1.0
L'Oréal Paris	Voluminous Lash Paradise	Mascara	Eyes	1.0
Lancôme	Hypn se Drama	Mascara	Eyes	1.0
Lancôme	L'Absolu Rouge Lipstick	Lipstick	Lips	1.0
Lancôme	Teint Idole Ultra Wear	Foundation	Skin	1.0
Laura Mercier	Finishing Brush	Powder Brush	Tools	1.0
Laura Mercier	Natural Perfector	Tinted Moisturizer	Skin	1.0
MAC	217S Blending Brush	Eyeshadow Brush	Tools	1.0
MAC	Pro Longwear Paint Pot	Cream Eyeshadow	Eyes	1.0
MAC	Studio Fix Fluid SPF 15	Foundation	Skin	1.0
Marc Jacobs Beauty	Highliner Eye Crayon	Eyeliner Pencil	Eyes	1.0
Maybelline	Fit Me Poreless	Foundation	Skin	1.0
Maybelline	Lash Sensational	Mascara	Eyes	1.0
Maybelline	SuperStay Ink Lipstick	Lipstick	Lips	1.0
Maybelline	SuperStay Ink Lipstick	Liquid Lipstick	Lips	1.0
Morphe	M439 Deluxe Buffer Brush	Brush	Tools	1.0
Morphe	M439 Deluxe Buffer Brush	Foundation Brush	Tools	1.0
NARS	Natural Radiant Longwear	Foundation	Skin	1.0
NARS	Soft Complete	Concealer	Skin	1.0
Pat McGrath Labs	MatteTrance Lipstick	Lipstick	Lips	1.0
Pat McGrath Labs	Mothership IX Huetopian Dream	Eyeshadow Palette	Eyes	1.0
Pat McGrath Labs	Sublime Perfection	Foundation	Skin	1.0
Rare Beauty	Perfect Strokes	Eyeliner	Eyes	1.0
Rare Beauty	Souffl Lipstick	Lipstick	Lips	1.0
Rare Beauty	Touch Brightening	Concealer	Skin	1.0
Real Techniques	Everyday Essentials Makeup Brush Set	Brush Set	Tools	1.0
Real Techniques	Miracle Complexion Sponge	Sponge	Tools	1.0
Revlon	Super Lustrous Lipstick	Lipstick	Lips	1.0
Sephora Collection	Pro Brush #56	Brush	Tools	1.0
Sephora Collection	Pro Brush #56	Foundation Brush	Tools	1.0
Shiseido	Daiya Fude Duo Brush	Double-Ended Brush	Tools	1.0
Sigma Beauty	Essential Kit - Mrs Bunny	Brush Set	Tools	1.0
Sigma Beauty	F80 Flat Kabuki Brush	Brush	Tools	1.0
Smashbox	Photo Finish	Primer	Skin	1.0
Stila	Stay Day Eye	Liquid Eyeliner	Eyes	1.0
Tarte	Buffer Airbrush Finish Bamboo Brush	Brush	Tools	1.0
Tarte	Buffer Airbrush Finish Brush	Foundation Brush	Tools	1.0
Tarte	Shape Tape	Concealer	Skin	1.0
Tarte	Tartelette Bloom Clay	Eyeshadow	Eyes	1.0
Too Faced	Better Than Sex	Mascara	Eyes	1.0
Too Faced	Born This Way	Foundation	Skin	1.0
Too Faced	Born This Way Super Coverage	Concealer	Skin	1.0
Too Faced	Injection Extreme	Lip Plumper	Lips	1.0
Urban Decay	Vice Lipstick	Lipstick	Lips	1.0
Yves Saint Laurent	Rouge Pur Couture Lipstick	Lipstick	Lips	1.0
Yves Saint Laurent	Touche clat Le Teint	Foundation	Skin	1.0
Zoeva	Rose Golden Complete Eye Set	Eye Brush Set	Tools	1.0
e.l.f.	No Budge Retractable	Eyeliner	Eyes	1.0
e.l.f.	Ultimate Blending Brush	Brush	Tools	1.0
